"exam_id","type","question","passage","option1","option2","option3","option4","correct_answer"
"1","answer","다음 인사말에 대한 가장 적절한 응답을 고르시오.","How have you been lately?","I'm very tired.","I've been pretty busy with work.","I went to school.","The weather is cold.","2"
"2","blank","빈칸에 들어갈 가장 적절한 표현을 고르시오.","Could you _________ me the way to the station?","speak","tell","talk","say","2"
"3","situation","식당에서 물을 요청할 때 사용하기에 가장 적절한 표현을 고르시오.","You want to ask for water at a restaurant.","I want water.","Where is water?","Could I have a glass of water, please?","I like water.","3"
"4","error","다음 문장에서 문법적으로 잘못된 부분을 고르시오.","She have been studying English for three years.","have","been","studying","for","1"
"5","blank","빈칸에 들어갈 가장 적절한 표현을 고르시오.","I _________ to the gym three times a week.","going","goes","went","go","4"
"6","answer","다음 질문에 대한 가장 적절한 응답을 고르시오.","Would you like to join us for dinner tonight?","Maybe next time.","I'd love to, what time?","I like chicken.","My name is John.","2"
"7","situation","카페에서 주문할 때 사용하기에 가장 적절한 표현을 고르시오.","You want to order a coffee at a cafe.","The coffee is hot.","Where is the bathroom?","I don't drink water.","I'd like an iced americano, please.","4"
"8","blank","빈칸에 들어갈 가장 적절한 표현을 고르시오.","She _________ her homework every evening.","doing","do","does","did","3"
"9","error","다음 문장에서 문법적으로 잘못된 부분을 고르시오.","They is going to the movie theater tomorrow.","is","going","to","tomorrow","1"
"10","answer","다음 상황에서 가장 적절한 응답을 고르시오.","I'm sorry I'm late for the meeting.","The meeting is important.","It's okay, don't worry.","The weather is nice.","No worries, we just started.","4"
"11","situation","병원 예약을 하고 싶을 때 사용하기에 가장 적절한 표현을 고르시오.","You want to make a doctor's appointment.","I have a headache.","I'd like to make an appointment for tomorrow.","Where is the hospital?","I don't like doctors.","2"
"12","blank","빈칸에 들어갈 가장 적절한 표현을 고르시오.","Can you _________ me a favor?","make","do","give","take","2"
"13","error","다음 문장에서 문법적으로 잘못된 부분을 고르시오.","He don't like to eat spicy food.","don't","like","to","eat","1"
"14","answer","다음 질문에 대한 가장 적절한 응답을 고르시오.","How do you like your new job?","I go to work by bus.","The office is big.","It's challenging but interesting.","I work at 9 AM.","3"
"15","situation","슈퍼마켓에서 물건의 위치를 물을 때 사용하기에 가장 적절한 표현을 고르시오.","You want to find milk in a supermarket.","I want to buy milk.","The milk is white.","I like milk.","Excuse me, where can I find the milk?","4"
"16","blank","빈칸에 들어갈 가장 적절한 표현을 고르시오.","We _________ to the beach last summer.","go","went","going","gone","2"
"17","error","다음 문장에서 문법적으로 잘못된 부분을 고르시오.","The children plays in the park every day.","plays","in","the","every","1"
"18","answer","다음 상황에서 가장 적절한 응답을 고르시오.","Do you mind if I open the window?","Yes, it's a window.","Not at all, go ahead.","The window is clean.","I like fresh air.","2"
"19","situation","택시에서 목적지를 말할 때 사용하기에 가장 적절한 표현을 고르시오.","You want to go to the central station.","I like trains.","Where is the station?","Could you take me to the central station, please?","The station is far.","3"
"20","blank","빈칸에 들어갈 가장 적절한 표현을 고르시오.","He _________ English for five years.","have studied","studying","studies","has studied","4"
"21","error","다음 문장에서 문법적으로 잘못된 부분을 고르시오.","I am study English every morning.","am study","English","every","morning","1"
"22","answer","다음 질문에 대한 가장 적절한 응답을 고르시오.","What do you think about the new restaurant?","It's next to the bank.","I'm hungry.","The food was delicious.","I went there yesterday.","3"
"23","situation","호텔 체크인할 때 사용하기에 가장 적절한 표현을 고르시오.","You want to check in at a hotel.","I like this hotel.","Where is my room?","The hotel is big.","I have a reservation under the name Smith.","4"
"24","blank","빈칸에 들어갈 가장 적절한 표현을 고르시오.","_________ you help me carry these bags?","Can't","Would","Could","Will","3"
"25","error","다음 문장에서 문법적으로 잘못된 부분을 고르시오.","She don't have to go to school today.","don't","have","to","today","1"
"26","answer","다음 상황에서 가장 적절한 응답을 고르시오.","Would you like some more coffee?","I like coffee.","No, thanks. I'm good.","It's hot.","The cup is empty.","2"
"27","situation","길을 잃었을 때 사용하기에 가장 적절한 표현을 고르시오.","You are lost and need directions.","I don't know where I am.","The street is long.","I like walking.","Excuse me, I'm a bit lost. Could you help me?","4"
"28","blank","빈칸에 들어갈 가장 적절한 표현을 고르시오.","They _________ dinner when I arrived.","have","are having","was having","were having","4"
"29","error","다음 문장에서 문법적으로 잘못된 부분을 고르시오.","The book who I bought yesterday is interesting.","who","bought","yesterday","is","1"
"30","answer","다음 질문에 대한 가장 적절한 응답을 고르시오.","How was your weekend?","It's Sunday today.","I like weekends.","It was great! I went hiking.","Tomorrow is Monday.","3"
"31","situation","미용실에서 머리 스타일을 요청할 때 사용하기에 가장 적절한 표현을 고르시오.","You want to get a haircut.","My hair is long.","I'd like to get my hair trimmed, please.","Where is the salon?","I don't like haircuts.","2"
"32","blank","빈칸에 들어갈 가장 적절한 표현을 고르시오.","If it rains tomorrow, I _________ at home.","stay","staying","stayed","will stay","4"
"33","error","다음 문장에서 문법적으로 잘못된 부분을 고르시오.","I have been to Paris last year.","have been","to","Paris","last year","1"
"34","answer","다음 상황에서 가장 적절한 응답을 고르시오.","Can I borrow your pen?","It's a blue pen.","I like pens.","I have many pens.","Sure, here you are.","4"
"35","situation","기차표를 예매할 때 사용하기에 가장 적절한 표현을 고르시오.","You want to buy a train ticket.","Trains are fast.","I'd like a ticket to Boston, please.","Where is the station?","I like traveling.","2"
"36","blank","빈칸에 들어갈 가장 적절한 표현을 고르시오.","She _________ TV when the phone rang.","watched","watches","watching","was watching","4"
"37","error","다음 문장에서 문법적으로 잘못된 부분을 고르시오.","I am going to the store for buy some milk.","for","going","to","store","1"
"38","answer","다음 질문에 대한 가장 적절한 응답을 고르시오.","What time does the movie start?","It's a good movie.","It starts at 7:30.","I like movies.","The theater is big.","2"
"39","situation","레스토랑에서 계산을 요청할 때 사용하기에 가장 적절한 표현을 고르시오.","You want to ask for the bill.","The food was good.","Where is the restaurant?","Could I have the bill, please?","I have money.","3"
"40","blank","빈칸에 들어갈 가장 적절한 표현을 고르시오.","You should _________ to the doctor.","going","went","gone","go","4"
"41","error","다음 문장에서 문법적으로 잘못된 부분을 고르시오.","She has went to the store.","has went","to","the","store","1"
"42","answer","다음 상황에서 가장 적절한 응답을 고르시오.","Happy birthday!","It's a cake.","Thank you so much!","I like parties.","Today is Tuesday.","2"
"43","situation","공항에서 수하물을 찾을 때 사용하기에 가장 적절한 표현을 고르시오.","You want to find your luggage.","I lost my bag.","The airport is big.","Excuse me, where is the baggage claim area?","I like traveling.","3"
"44","blank","빈칸에 들어갈 가장 적절한 표현을 고르시오.","He _________ in London for ten years.","have lived","living","lives","has lived","4"
"45","error","다음 문장에서 문법적으로 잘못된 부분을 고르시오.","I am tired because I have work very hard.","have work","very","hard","tired","1"
"46","answer","다음 질문에 대한 가장 적절한 응답을 고르시오.","How do you feel about the new policy?","The policy is new.","It was announced yesterday.","I think it's a good change.","The office is quiet.","3"
"47","situation","약국에서 약을 구매할 때 사용하기에 가장 적절한 표현을 고르시오.","You want to buy medicine for a headache.","My head hurts.","Where is the pharmacy?","I don't like medicine.","I need something for a headache, please.","4"
"48","blank","빈칸에 들어갈 가장 적절한 표현을 고르시오.","If I _________ rich, I would travel the world.","was","were","am","be","2"
"49","error","다음 문장에서 문법적으로 잘못된 부분을 고르시오.","He is more taller than his brother.","more taller","than","his","brother","1"
"50","answer","다음 상황에서 가장 적절한 응답을 고르시오.","I'm really sorry for being late.","I like being on time.","Don't worry about it.","The clock is wrong.","Time goes fast.","2"
"51","situation","은행에서 계좌를 개설할 때 사용하기에 가장 적절한 표현을 고르시오.","You want to open a bank account.","I have money.","Where is the bank?","I'd like to open a checking account, please.","Banks are important.","3"
"52","blank","빈칸에 들어갈 가장 적절한 표현을 고르시오.","They _________ to the party next week.","is coming","comes","coming","are coming","4"
"53","error","다음 문장에서 문법적으로 잘못된 부분을 고르시오.","I have been working here since three years.","since","been","working","here","1"
"54","answer","다음 질문에 대한 가장 적절한 응답을 고르시오.","What's your opinion about the project?","The project is big.","It started last week.","We have meetings.","I think we need more time.","4"
"55","situation","도서관에서 책을 대출할 때 사용하기에 가장 적절한 표현을 고르시오.","You want to borrow a book.","I like reading.","I'd like to check out this book, please.","Where are the books?","The library is quiet.","2"
"56","blank","빈칸에 들어갈 가장 적절한 표현을 고르시오.","The movie _________ at 8 PM tonight.","start","starting","started","starts","4"
"57","error","다음 문장에서 문법적으로 잘못된 부분을 고르시오.","I am interesting in learning English.","interesting","in","learning","English","1"
"58","answer","다음 질문에 대한 가장 적절한 응답을 고르시오.","How often do you exercise?","I like sports.","The gym is far.","I usually work out three times a week.","It's Monday today.","3"
"59","situation","식당에서 음식이 맵다고 말할 때 사용하기에 가장 적절한 표현을 고르시오.","The food is too spicy for you.","I don't like spicy food.","This is a bit too spicy for me.","Where is the restaurant?","The food is hot.","2"
"60","blank","빈칸에 들어갈 가장 적절한 표현을 고르시오.","She _________ in this company since 2010.","have worked","working","works","has worked","4"
"61","error","다음 문장에서 문법적으로 잘못된 부분을 고르시오.","The weather is more cold than yesterday.","more cold","than","yesterday","is","1"
"62","answer","다음 상황에서 가장 적절한 응답을 고르시오.","What's your favorite season?","It's warm today.","I love spring because of the flowers.","The weather is nice.","Seasons change.","2"
"63","situation","공항에서 탑승권을 받을 때 사용하기에 가장 적절한 표현을 고르시오.","You want to get your boarding pass.","I like flying.","Where is the gate?","I'd like to check in for my flight to London.","Planes are fast.","3"
"64","blank","빈칸에 들어갈 가장 적절한 표현을 고르시오.","If you _________ harder, you will succeed.","studies","studied","studying","study","4"
"65","error","다음 문장에서 문법적으로 잘못된 부분을 고르시오.","She has been married since five years ago.","since","has been","married","ago","1"
"66","answer","다음 질문에 대한 가장 적절한 응답을 고르시오.","What do you do in your free time?","It's weekend now.","Time is important.","I have time.","I enjoy reading books and hiking.","4"
"67","situation","미용실에서 머리 길이를 설명할 때 사용하기에 가장 적절한 표현을 고르시오.","You want to explain how short to cut your hair.","I have long hair.","Where is the scissors?","I'd like it about two inches shorter, please.","Hair grows fast.","3"
"68","blank","빈칸에 들어갈 가장 적절한 표현을 고르시오.","They _________ to Paris next month.","is flying","flies","flying","are flying","4"
"69","error","다음 문장에서 문법적으로 잘못된 부분을 고르시오.","I have never went to New York.","went","have","never","to","1"
"70","answer","다음 상황에서 가장 적절한 응답을 고르시오.","How was the concert?","I like music.","It was amazing! The band played all my favorite songs.","The venue was big.","It was at night.","2"
"71","situation","호텔에서 룸서비스를 요청할 때 사용하기에 가장 적절한 표현을 고르시오.","You want to order room service.","I am hungry.","Where is the restaurant?","The hotel is nice.","I'd like to order breakfast to my room, please.","4"
"72","blank","빈칸에 들어갈 가장 적절한 표현을 고르시오.","She _________ the piano since she was six.","have played","playing","plays","has played","4"
"73","error","다음 문장에서 문법적으로 잘못된 부분을 고르시오.","The children are play in the garden.","are play","in","the","garden","1"
"74","answer","다음 질문에 대한 가장 적절한 응답을 고르시오.","What's your plan for the weekend?","It's Saturday tomorrow.","I'm planning to visit my grandparents.","I like weekends.","Time goes fast.","2"
"75","situation","버스에서 노인에게 자리를 양보할 때 사용하기에 가장 적절한 표현을 고르시오.","You want to offer your seat to an elderly person.","I am sitting.","Would you like to take my seat?","Where is the bus?","The bus is full.","2"
"76","blank","빈칸에 들어갈 가장 적절한 표현을 고르시오.","I _________ to the gym yesterday.","go","going","gone","went","4"
"77","error","다음 문장에서 문법적으로 잘못된 부분을 고르시오.","He don't need to worry about it.","don't","need","to","worry","1"
"78","answer","다음 상황에서 가장 적절한 응답을 고르시오.","Do you mind if I use your phone?","It's my phone.","Go ahead, no problem.","Phones are useful.","I like phones.","2"
"79","situation","레스토랑에서 예약을 할 때 사용하기에 가장 적절한 표현을 고르시오.","You want to make a dinner reservation.","I like dinner.","I'd like to make a reservation for two at 7 PM.","Where is the table?","The restaurant is busy.","2"
"80","blank","빈칸에 들어갈 가장 적절한 표현을 고르시오.","They _________ married for 20 years.","has been","being","are","have been","4"
"81","error","다음 문장에서 문법적으로 잘못된 부분을 고르시오.","I am agree with your opinion.","am agree","with","your","opinion","1"
"82","answer","다음 질문에 대한 가장 적절한 응답을 고르시오.","What kind of movies do you like?","Movies are fun.","The theater is close.","I'm a big fan of action movies.","I watch TV.","3"
"83","situation","약속에 늦을 것 같을 때 사용하기에 가장 적절한 표현을 고르시오.","You will be late for a meeting.","I am late.","Where is the meeting?","I'm running a bit late. I'll be there in 15 minutes.","Time is fast.","3"
"84","blank","빈칸에 들어갈 가장 적절한 표현을 고르시오.","If I _________ you, I would take the job.","was","am","be","were","4"
"85","error","다음 문장에서 문법적으로 잘못된 부분을 고르시오.","She don't like to eat vegetables.","don't","like","to","eat","1"
"86","answer","다음 상황에서 가장 적절한 응답을 고르시오.","What's your favorite food?","Food is good.","I love Italian cuisine, especially pasta.","I eat everyday.","Restaurants are nice.","2"
"87","situation","도서관에서 조용히 해달라고 요청할 때 사용하기에 가장 적절한 표현을 고르시오.","People are being noisy in the library.","I like quiet places.","Where is the library?","Could you please keep your voice down?","Libraries are quiet.","3"
"88","blank","빈칸에 들어갈 가장 적절한 표현을 고르시오.","He _________ to work by bus every day.","go","going","went","goes","4"
"89","error","다음 문장에서 문법적으로 잘못된 부분을 고르시오.","I have been working here for five years ago.","ago","have been","working","for","1"
"90","answer","다음 질문에 대한 가장 적절한 응답을 고르시오.","How do you spend your lunch break?","It's lunch time.","I usually eat at the office cafeteria.","I like food.","Break is important.","2"
"91","situation","택시에서 카드 결제가 가능한지 물을 때 사용하기에 가장 적절한 표현을 고르시오.","You want to pay by card.","I have a card.","Do you accept credit cards?","Where is the taxi?","Cards are useful.","2"
"92","blank","빈칸에 들어갈 가장 적절한 표현을 고르시오.","We _________ to the beach if it's sunny tomorrow.","go","going","went","will go","4"
"93","error","다음 문장에서 문법적으로 잘못된 부분을 고르시오.","She has been to Paris in last summer.","in","has been","to","last summer","1"
"94","answer","다음 상황에서 가장 적절한 응답을 고르시오.","What time do you usually wake up?","Time is important.","I usually get up at 6:30 AM.","I like mornings.","The alarm is loud.","2"
"95","situation","슈퍼마켓에서 영수증을 요청할 때 사용하기에 가장 적절한 표현을 고르시오.","You need a receipt.","I need paper.","Could I have a receipt, please?","Where is the store?","Money is important.","2"
"96","blank","빈칸에 들어갈 가장 적절한 표현을 고르시오.","The movie _________ by the time we arrived.","has started","starting","starts","had started","4"
"97","error","다음 문장에서 문법적으로 잘못된 부분을 고르시오.","I am living in Seoul since 2010.","am living","in","Seoul","since 2010","1"
"98","answer","다음 질문에 대한 가장 적절한 응답을 고르시오.","How was your vacation?","I like vacations.","Time is fun.","It was wonderful! I had a great time.","It was last week.","3"
"99","situation","미팅 시간을 변경할 때 사용하기에 가장 적절한 표현을 고르시오.","You need to reschedule a meeting.","I am busy.","Would it be possible to reschedule our meeting?","Where is the office?","Time changes.","2"
"100","blank","빈칸에 들어갈 가장 적절한 표현을 고르시오.","She _________ coffee every morning.","drink","drinking","drank","drinks","4"
"101","error","다음 문장에서 문법적으로 잘못된 부분을 고르시오.","The book who I bought is interesting.","who","bought","is","interesting","1"
"102","answer","다음 상황에서 가장 적절한 응답을 고르시오.","What's the weather like today?","I like weather.","It's sunny and warm.","Time flies.","The sky is blue.","2"
"103","situation","식당에서 추천 메뉴를 물을 때 사용하기에 가장 적절한 표현을 고르시오.","You want to know the chef's recommendation.","I like food.","Where is the menu?","What would you recommend today?","Food is good.","3"
"104","blank","빈칸에 들어갈 가장 적절한 표현을 고르시오.","They _________ here for hours.","has been waiting","being waiting","waiting","have been waiting","4"
"105","error","다음 문장에서 문법적으로 잘못된 부분을 고르시오.","We was watching TV last night.","was","watching","TV","last night","1"
"106","answer","다음 질문에 대한 가장 적절한 응답을 고르시오.","What's your job?","I work at a bank.","It's Monday today.","The office is far.","I like working.","1"
"107","situation","비행기 좌석을 변경하고 싶을 때 사용하기에 가장 적절한 표현을 고르시오.","You want to change your seat on the plane.","I don't like my seat.","Would it be possible to change my seat?","The plane is big.","I like window seats.","2"
"108","blank","빈칸에 들어갈 가장 적절한 표현을 고르시오.","He _________ his keys yesterday.","lose","loses","losing","lost","4"
"109","error","다음 문장에서 문법적으로 잘못된 부분을 고르시오.","They has finished their homework.","has","finished","their","homework","1"
"110","answer","다음 상황에서 가장 적절한 응답을 고르시오.","Would you like some help?","Yes, that would be great.","I like helping.","Help is good.","The work is hard.","1"
"111","situation","음식점에서 알레르기가 있다고 말할 때 사용하기에 가장 적절한 표현을 고르시오.","You want to inform about your food allergy.","I don't like nuts.","I'm allergic to peanuts.","Where is the menu?","Food is important.","2"
"112","blank","빈칸에 들어갈 가장 적절한 표현을 고르시오.","It _________ since this morning.","is raining","raining","rains","has been raining","4"
"113","error","다음 문장에서 문법적으로 잘못된 부분을 고르시오.","She have to go now.","have","to","go","now","1"
"114","answer","다음 질문에 대한 가장 적절한 응답을 고르시오.","How do you come to work?","I come by bus.","Work is important.","The bus is red.","I like driving.","1"
"115","situation","호텔에서 수건을 더 요청할 때 사용하기에 가장 적절한 표현을 고르시오.","You need extra towels.","I like clean towels.","Could I have some extra towels, please?","Where is the bathroom?","Towels are white.","2"
"116","blank","빈칸에 들어갈 가장 적절한 표현을 고르시오.","You _________ better see a doctor.","would","should","had","have","2"
"117","error","다음 문장에서 문법적으로 잘못된 부분을 고르시오.","I didn't saw him yesterday.","didn't saw","him","yesterday","saw","1"
"118","answer","다음 상황에서 가장 적절한 응답을 고르시오.","Do you have any plans for the weekend?","Weekends are fun.","Yes, I'm going camping.","Time flies fast.","I like planning.","2"
"119","situation","커피숍에서 와이파이 비밀번호를 물을 때 사용하기에 가장 적절한 표현을 고르시오.","You want to know the WiFi password.","I need internet.","What's the WiFi password?","Where is the router?","Internet is important.","2"
"120","blank","빈칸에 들어갈 가장 적절한 표현을 고르시오.","She _________ here tomorrow.","coming","comes","come","is coming","4"
"121","error","다음 문장에서 문법적으로 잘못된 부분을 고르시오.","He don't understand the question.","don't","understand","the","question","1"
"122","answer","다음 질문에 대한 가장 적절한 응답을 고르시오.","What's your favorite hobby?","I enjoy playing tennis.","Hobbies are fun.","Tennis is a sport.","I have free time.","1"
"123","situation","식당에서 메뉴를 고를 때 더 시간이 필요할 때 사용하기에 가장 적절한 표현을 고르시오.","You need more time to choose.","I like food.","Could I have a few more minutes to decide?","Where is the menu?","Time is important.","2"
